smi,seed_smi,ori_smi,component,diameter,hash_distance,comp2
*CNC(=O)C1=CC2=CC=CC=C2N1,*CNC(=O)c1cc2ccccc2[nH]1,O=C(NCCNC(=O)c1cc2ccccc2[nH]1)C(=O)NCc1ccc2c(c1)OCO2,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,3.758,e5d89ff803e1b1d646270dc2cbcdbbfe,R5;R6;
*CCc1ccccc1Cl,*C([*+])Cc1ccccc1Cl,CC(C)C[C@H](NC(=O)[C@H](O)[C@H]([NH3+])Cc1ccccc1Cl)C(=O)[O-],R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
[*+]CCc1ccccc1Cl,*C([*+])Cc1ccccc1Cl,CC(C)C[C@H](NC(=O)[C@H](O)[C@H]([NH3+])Cc1ccccc1Cl)C(=O)[O-],R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
*CCc1ccccc1,*C([*+])Cc1ccccc1,CC(C)C[C@H](NC(=O)[C@H](O)[C@H]([NH3+])Cc1ccccc1)C(=O)[O-],R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
[*+]CCc1ccccc1,*C([*+])Cc1ccccc1,CC(C)C[C@H](NC(=O)[C@H](O)[C@H]([NH3+])Cc1ccccc1)C(=O)[O-],R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
*N1C(=O)NC(C2=CC=CC=C2)C1O,*N1C(=O)NC(c2ccccc2)C1O,O=C1N[C@@H](c2ccccc2)[C@H](O)N1c1ccccc1,Hydrophilic;R5_aro0_2;R6_aro1_0;,4.276,185d301e7186abc1fa21432095172c55,R5;R6;
*CCN1C(=O)NC2(CCCCC2)C1=O,*C(*)CN1C(=O)NC2(CCCCC2)C1=O,O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1ccc2[nH]c(=O)[nH]c2c1,Hydrophilic;Hydrophilic;R5_aro0_2;R6_aro0_0;,2.776,4365d258e59a2e5d16d6986c82baa217,R5;R6;
*NC(=O)C1(C)OC2=CC=C(Cl)C=C2NC1=O,*NC(=O)C1(C)Oc2ccc(Cl)cc2NC1=O,Cn1cc(NC(=O)[C@]2(C)Oc3ccc(Cl)cc3NC2=O)cn1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro0_2;R6_aro1_0;,4.084,2d96b38c1b86e164954bdb00fa3337a4,R6;R6;
*CCC1Oc2ccccc2NC1=O,*C(*)CC1Oc2ccccc2NC1=O,COCCCNC(=O)C[C@H]1Oc2ccccc2NC1=O,Hydrophilic;R6_aro0_2;R6_aro1_0;,3.0,1bd90d7800107f0e36a26951490f2069,R6;R6;
*CNC(=O)C1=CN=C2C=CC=CC2=C1N,*CNC(=O)c1cnc2ccccc2c1N,C[NH+](CCCNC(=O)c1cnc2ccccc2c1N)CCCNC(=O)c1cnc2ccccc2c1N,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_1;,3.969,27785f9fe7d0f80e5d03a1cbce39a672,R6;R6;
